un_name,gbd_name
Bahamas,The Bahamas
Bolivia (Plurinational State of),Bolivia
Brunei Darussalam,Brunei
Cabo Verde,Cape Verde
Democratic Republic of the Congo,DR Congo
Congo,Congo (Brazzaville)
Czechia,Czech Republic
Eswatini,eSwatini
Gambia,The Gambia
Iran (Islamic Republic of),Iran
Democratic People's Republic of Korea,North Korea
Republic of Korea,South Korea
Lao People's Democratic Republic,Laos
Micronesia (Federated States of),Federated States of Micronesia
Republic of Moldova,Moldova
Russian Federation,Russia
Sao Tome and Principe,São Tomé and PrÍncipe
Syrian Arab Republic,Syria
United Republic of Tanzania,Tanzania
United Kingdom,UK
United States of America,USA
Venezuela (Bolivarian Republic of),Venezuela
Viet Nam,Vietnam